Settings, precison
tfidf_false_djk_1,0.772222222
tfidf_true_djps_2,0.767777778
tfidf_false_djps_2,0.767777778
tfidf_no_dk_1,0.766666667
tfidf_true_jkps_2,0.766666667
tfidf_false_jkps_2,0.766666667
tfidf_no_j_2,0.765555556
tfidf_no_j_3,0.765555556
tfidf_no_x_4,0.764444444
tfidf_no_d_3,0.764444444
tfidf_no_dp_3,0.764444444
tfidf_true_djkps_2,0.764444444
tfidf_false_djkps_2,0.764444444
tfidf_no_dw_1,0.763333333
tfidf_no_jp_3,0.763333333
tfidf_no_k_2,0.762222222
tfidf_no_p_4,0.761111111
tfidf_no_kp_2,0.761111111
tfidf_no_jp_2,0.761111111
tfidf_no_dk_2,0.758888889
tfidf_no_jk_3,0.757777778
tfidf_no_kw_2,0.756666667
tfidf_no_dkp_1,0.756666667
tfidf_no_k_3,0.755555556
tfidf_no_dkp_2,0.755555556
tfidf_no_jkp_3,0.754444444
tfidf_no_j_4,0.753333333
tfidf_no_jp_4,0.752222222
tfidf_no_d_4,0.752222222
tfidf_no_kp_3,0.75
tfidf_no_jk_2,0.75
tfidf_no_dk_3,0.75
tfidf_no_dp_4,0.747777778
tfidf_no_k_4,0.745555556
tfidf_no_jk_1,0.744444444
tfidf_no_dkp_3,0.744444444
tfidf_no_dj_3,0.744444444
tfidf_no_j_1,0.743333333
tfidf_no_jp_1,0.743333333
tfidf_no_dk_4,0.743333333
tfidf_no_dj_2,0.743333333
tfidf_no_djp_3,0.743333333
tfidf_no_djk_3,0.743333333
tfidf_no_dj_4,0.742222222
tfidf_no_jk_4,0.742222222
tfidf_no_jkp_1,0.742222222
tfidf_no_jkw_1,0.74
tfidf_no_kp_4,0.74
tfidf_no_djp_4,0.738888889
tfidf_true_jpws_1,0.738888889
tfidf_false_jpws_1,0.738888889
tfidf_no_dkp_4,0.737777778
tfidf_no_jkp_2,0.736666667
tfidf_no_djp_2,0.734444444
tfidf_no_djkp_3,0.734444444
tfidf_no_djkpw_1,0.734444444
tfidf_no_dj_1,0.733333333
tfidf_no_jkp_4,0.732222222
tfidf_true_ps_1,0.732222222
tfidf_true_ks_1,0.732222222
tfidf_false_ps_1,0.732222222
tfidf_false_ks_1,0.732222222
tfidf_no_djp_1,0.731111111
tfidf_true_kps_1,0.731111111
tfidf_false_kps_1,0.731111111
tfidf_no_dkw_2,0.728888889
tfidf_no_dkpw_1,0.728888889
tfidf_no_djk_4,0.726666667
tfidf_true_s_1,0.726666667
tfidf_false_s_1,0.726666667
tfidf_no_djk_2,0.723333333
tfidf_true_dps_1,0.723333333
tfidf_false_dps_1,0.723333333
tfidf_true_jws_1,0.722222222
tfidf_false_jws_1,0.722222222
tfidf_no_djkp_4,0.722222222
tfidf_true_pws_1,0.718888889
tfidf_false_pws_1,0.718888889
tfidf_true_ds_1,0.717777778
tfidf_false_ds_1,0.717777778
tfidf_no_djk_1,0.716666667
tfidf_true_ws_1,0.715555556
tfidf_false_ws_1,0.715555556
tfidf_true_dks_1,0.714444444
tfidf_false_dks_1,0.714444444
tfidf_true_dkps_1,0.713333333
tfidf_false_dkps_1,0.713333333
tfidf_no_djkp_2,0.704444444
tfidf_no_djkp_1,0.703333333
tfidf_no_djkw_1,0.702222222
tfidf_true_js_1,0.702222222
tfidf_true_jps_1,0.702222222
tfidf_true_djpws_1,0.702222222
tfidf_false_js_1,0.702222222
tfidf_false_jps_1,0.702222222
tfidf_false_djpws_1,0.702222222
tfidf_true_dpws_1,0.7
tfidf_false_dpws_1,0.7
tfidf_true_dws_1,0.697777778
tfidf_false_dws_1,0.697777778
tfidf_no_dkw_1,0.693333333
tfidf_true_djs_1,0.692222222
tfidf_true_djps_1,0.692222222
tfidf_false_djs_1,0.692222222
tfidf_false_djps_1,0.692222222
tfidf_no_ps_1,0.684444444
tfidf_no_s_3,0.682222222
tfidf_true_djws_1,0.682222222
tfidf_false_djws_1,0.682222222
tfidf_no_ps_2,0.681111111
tfidf_no_ds_3,0.68
tfidf_true_kpws_1,0.68
tfidf_false_kpws_1,0.68
tfidf_no_dps_2,0.677777778
tfidf_true_jks_1,0.677777778
tfidf_true_jkps_1,0.677777778
tfidf_false_jks_1,0.677777778
tfidf_false_jkps_1,0.677777778
tfidf_no_dps_1,0.676666667
tfidf_true_kws_1,0.674444444
tfidf_false_kws_1,0.674444444
tfidf_no_s_1,0.674444444
tfidf_no_s_2,0.674444444
tfidf_true_djks_1,0.673333333
tfidf_false_djks_1,0.673333333
tfidf_no_jpws_2,0.671111111
tfidf_no_ds_2,0.671111111
tfidf_true_djkps_1,0.671111111
tfidf_false_djkps_1,0.671111111
tfidf_no_jpws_4,0.671111111
tfidf_true_dkpws_1,0.67
tfidf_false_dkpws_1,0.67
tfidf_no_ks_3,0.67
tfidf_no_jws_2,0.668888889
