fold1, precison,fold2, precison,fold3, precison,fold4, precison,fold5, precison,fold6, precison,fold7, precison,fold8, precison,fold9, precison,fold10, precison
false_dj_3,0.891111111,true_djkpw_4,0.896666667,true_jw_3,0.881111111,false_w_3,0.923333333,true_djkw_4,0.89,false_dkpw_4,0.893333333,false_djk_4,0.894444444,false_djkp_4,0.881111111,false_kpw_4,0.915555556,true_djk_3,0.901111111
true_jpw_4,0.89,false_kpw_3,0.896666667,true_jw_4,0.881111111,true_w_2,0.923333333,true_djkpw_4,0.89,true_djkp_4,0.893333333,true_k_3,0.893333333,true_kw_3,0.88,false_dw_4,0.915555556,false_j_3,0.901111111
true_djkw_4,0.89,false_jkw_4,0.896666667,true_dkpw_4,0.881111111,true_kpw_4,0.923333333,false_pw_4,0.89,false_djkp_4,0.893333333,true_kp_3,0.893333333,false_kw_3,0.88,false_dpw_4,0.915555556,false_djk_3,0.901111111
false_jpw_4,0.89,false_jkpw_4,0.896666667,false_kw_2,0.881111111,true_jkw_4,0.923333333,false_kw_2,0.89,true_kp_4,0.892222222,true_dk_3,0.893333333,true_jw_4,0.878888889,true_jpw_4,0.915555556,true_jw_4,0.9
false_djkw_4,0.89,false_dkw_4,0.896666667,false_jw_3,0.881111111,true_jkpw_4,0.923333333,false_kpw_4,0.89,true_kpw_4,0.892222222,true_dkp_3,0.893333333,true_jpw_4,0.878888889,true_dk_3,0.915555556,true_jpw_4,0.9
true_djkp_4,0.89,false_dkpw_4,0.896666667,false_jw_4,0.881111111,true_dkpw_4,0.923333333,false_dkw_3,0.89,true_jw_3,0.892222222,true_djw_4,0.893333333,true_jkw_4,0.878888889,true_dkp_3,0.915555556,true_dpw_4,0.9
false_djkp_4,0.89,false_djw_4,0.896666667,false_dkpw_4,0.881111111,true_djkpw_4,0.923333333,false_djw_3,0.89,true_jkw_4,0.892222222,true_djpw_4,0.893333333,false_jw_4,0.878888889,true_djw_4,0.915555556,true_dkpw_4,0.9
true_pw_4,0.888888889,false_djkw_4,0.896666667,true_dw_2,0.88,false_w_2,0.923333333,false_djkw_4,0.89,false_kp_4,0.892222222,true_djkw_4,0.893333333,false_jpw_4,0.878888889,true_djpw_4,0.915555556,true_dj_3,0.9
true_jw_3,0.888888889,false_djkpw_4,0.896666667,false_dw_2,0.88,false_kpw_4,0.923333333,false_djkpw_4,0.89,false_kpw_4,0.892222222,true_djkpw_4,0.893333333,false_jkw_4,0.878888889,false_jpw_4,0.915555556,true_djw_4,0.9
false_pw_4,0.888888889,true_jk_3,0.896666667,true_pw_3,0.878888889,false_jkw_4,0.923333333,true_k_4,0.89,false_jw_3,0.892222222,false_k_3,0.893333333,true_dw_2,0.877777778,false_dk_3,0.915555556,true_djpw_4,0.9
