Settings, precisonMar 27, 2016 9:28:35 PM org.elasticsearch.plugins.PluginsService <init>
INFO: [Maxam] loaded [], sites []
tfidf_true_dkpw_2,0.9011111111111112
tfidf_true_dkpw_3,0.8900000000000006
tfidf_true_dkpw_4,0.8966666666666673
tfidf_true_dkpws_1,0.6811111111111111
tfidf_true_dkpws_2,0.7688888888888887
tfidf_true_dkpws_3,0.7611111111111114
tfidf_true_dkpws_4,0.7955555555555561
tfidf_true_dj_1,0.7733333333333333
tfidf_true_dj_2,0.8688888888888886
tfidf_true_dj_3,0.8933333333333329
tfidf_true_dj_4,0.9011111111111109
tfidf_true_djs_1,0.6811111111111108
tfidf_true_djs_2,0.774444444444444
tfidf_true_djs_3,0.7799999999999997
tfidf_true_djs_4,0.7944444444444442
tfidf_true_djw_1,0.8377777777777775
tfidf_true_djw_2,0.8744444444444446
tfidf_true_djw_3,0.8877777777777784
tfidf_true_djw_4,0.8966666666666673
tfidf_true_djws_1,0.6377777777777778
tfidf_true_djws_2,0.7655555555555557
tfidf_true_djws_3,0.7933333333333339
tfidf_true_djws_4,0.8033333333333339
tfidf_true_djp_1,0.772222222222222
tfidf_true_djp_2,0.8655555555555552
tfidf_true_djp_3,0.8933333333333329
tfidf_true_djp_4,0.9011111111111109
tfidf_true_djps_1,0.6811111111111108
tfidf_true_djps_2,0.7566666666666663
tfidf_true_djps_3,0.7777777777777775
tfidf_true_djps_4,0.7855555555555555
tfidf_true_djpw_1,0.8511111111111106
tfidf_true_djpw_2,0.8800000000000003
tfidf_true_djpw_3,0.8900000000000006
tfidf_true_djpw_4,0.8988888888888894
tfidf_true_djpws_1,0.6755555555555556
tfidf_true_djpws_2,0.7477777777777779
tfidf_true_djpws_3,0.7877777777777781
tfidf_true_djpws_4,0.8111111111111118
tfidf_true_djk_1,0.7755555555555556
tfidf_true_djk_2,0.8688888888888883
tfidf_true_djk_3,0.892222222222222
tfidf_true_djk_4,0.8944444444444439
tfidf_true_djks_1,0.6777777777777776
tfidf_true_djks_2,0.7799999999999997
tfidf_true_djks_3,0.773333333333333
tfidf_true_djks_4,0.7711111111111109
tfidf_true_djkw_1,0.82
tfidf_true_djkw_2,0.8822222222222225
tfidf_true_djkw_3,0.8855555555555562
tfidf_true_djkw_4,0.8966666666666673
tfidf_true_djkws_1,0.6133333333333334
tfidf_true_djkws_2,0.7755555555555553
tfidf_true_djkws_3,0.7911111111111114
tfidf_true_djkws_4,0.8100000000000005
tfidf_true_djkp_1,0.7744444444444443
tfidf_true_djkp_2,0.8677777777777772
tfidf_true_djkp_3,0.892222222222222
tfidf_true_djkp_4,0.8944444444444439
tfidf_true_djkps_1,0.6755555555555554
tfidf_true_djkps_2,0.7622222222222218
tfidf_true_djkps_3,0.773333333333333
tfidf_true_djkps_4,0.7688888888888887
tfidf_true_djkpw_1,0.8355555555555549
tfidf_true_djkpw_2,0.8811111111111114
tfidf_true_djkpw_3,0.8877777777777783
tfidf_true_djkpw_4,0.8966666666666673
tfidf_true_djkpws_1,0.6522222222222225
tfidf_true_djkpws_2,0.757777777777778
